"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
319121000,1500321531,11528137,-57682647,481,0,259,5,9199311,"STOLT SKUA","ZCPQ2",80,86,26,13,7,77,"VERA CRUZ",494016
257396000,1500321542,34795955,4923810,1608,9,236,7,9239044,"HOVAAGTRAAL","LKZV",30,16,8,3,3,40,"KRISTIANSAND",1596
672269000,1500321565,26260333,5535274,1612,226,160,0,9185396,"CARTHAGE","TSMT",60,27,153,13,14,65,"GOULETTE",496512
232004453,1500320945,30007648,-3007883,3204,1,62,1,9366940,"KATHRINE KOSAN","MAFV2",89,100,27,3,17,59,"FALMOUTH OPL",484288
431301721,1500321385,20830298,81176477,1164,0,511,0,0,"SEIYOH NO.8","JJ4055",80,43,10,7,2,0,"",
441944000,1500321205,19179890,72008550,3520,0,296,5,9203370,"EASTERN CHEMI","DSMZ5",80,91,23,10,9,80,"CJK-CHINA",490285
211684020,1500321567,31178416,2456920,3454,0,511,0,9725108,"FAIRPLAY XI","DJIV2",52,13,13,7,7,66,"ROTTERDAM",851451
645448000,1500321567,-12092758,34498848,2167,0,67,0,9779044,"SIR EDOUARD","3BSU",0,0,0,0,0,54,"PORT LOUIS",811136
215562000,1500321567,21592990,19361420,2720,112,274,0,9590773,"EVALUNA","9HA2754",70,113,21,4,15,46,"MARIUPOL",500992
265698740,1500321563,33542173,7633860,2948,12,292,0,9616125,"URANIBORG","SHFT",60,25,25,6,6,30,"LANDSKR0NA:VEN",494336
249865000,1500321533,36084642,15891908,1140,4,249,1,9248552,"TRANSBALTIC","9HA4408",70,15,128,11,11,65,"WAIT ORDER",486336
413018050,1500321494,23386672,70674866,3199,55,320,0,0,"JIN YOU 3","BTLJ",80,77,17,6,8,43,"CAO FEI DIAN",461568
372118000,1500321290,42381700,17842240,1920,0,307,5,7125811,"EMPIRE PERSIA","3EGK2",90,32,44,8,4,61,"BATSFJORD",463646
316001247,1500321564,29627548,-73998470,1139,0,299,0,9008354,"QUEEN OF CAPILANO","VY9513",60,48,48,10,10,44,"HORSESHOE<BOWEN",744587
258696000,1500321541,39575004,7390191,1255,105,119,0,9666065,"TENNA","LDKA",60,39,33,8,8,35,"SOVIK HEROY TR",240418
215691000,1500321474,19689118,21016411,2970,0,297,5,9527764,"BLUE STAR","9HA2785",82,100,28,10,9,73,"HAIFA",490176
412164000,1500321469,17873639,73492438,611,1,150,1,0,"SHEN HUA 515","BRMN",70,165,24,20,12,112,"NING BO",494720
211558760,1500321513,31560710,3420147,0,0,511,0,0,"HEBO LIFT 6","DDEN",33,70,0,5,5,2,"DUISBURG",711235
413991633,1500320870,18866570,72894590,3266,52,511,0,0,"RUN TAI 018","",70,46,10,5,6,0,"",
235066053,1500321453,26650610,5275530,1930,1,283,5,9350381,"CMA CGM AMBER","2BHA6",71,15,267,16,16,109,"FOS",496222
244710324,1500321560,31475602,2748913,3370,0,511,0,0,"AMALIA","PB8521",79,100,10,5,6,15,"NLSLI0010YDOCKX09662",112640
211339980,1500321405,32116306,5972520,3600,0,511,5,0,"HHLA 3","DB6054",99,12,38,23,2,0,"HAMBURG",271296
538006012,1500321560,21917834,8701903,2893,114,286,0,9705328,"SBI PEGASUS","V7IY4",70,172,28,19,13,117,"PROVIDENCE",526848
412303170,1500321561,23957780,71789612,2943,0,511,5,0,"QIZHONG28","BSEJ",90,30,72,17,19,40,"",1596
257020800,1500321522,41025886,9451173,3384,0,25,5,0,"SVELLINGEN","LLDU",40,11,5,3,3,0,"",0
257004610,1500320881,42629141,15545029,2789,0,511,0,0,"KAMOEYFJORD","LG3013",30,5,10,3,3,0,"",
257603800,1500321407,39821068,7556121,2065,0,511,0,0,"VARDSKJAER II","",0,0,0,0,0,0,"",
368350000,1500321454,15651995,-48112466,3108,5,511,0,7614915,"DIONE SUN","WDJ3902",37,22,11,4,4,20,"DAYTONA BEACH",1596
259273000,1500321544,40595208,7624817,723,0,511,7,0,"DAG SENIOR","LLFY",30,14,8,4,2,0,"",849920
413378450,1500321481,18846410,72898608,3600,0,511,5,0,"YING ZHOU 8","",40,13,20,4,2,11,"BAOYANG",494701
518515000,1500321564,39709420,7883083,2460,110,245,0,7926409,"EDMY","E5U2465",70,66,20,4,10,50,"NOMJF",495744
305524000,1500321411,27376787,8254464,2874,0,69,5,9123790,"BF CATANIA","V2ER3",70,90,11,6,12,66,"ITAOI-ITTRS",494784
