"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
413409790,1501098041,22810831,72381359,958,87,123,0,0,"HUAHAIDA29","BLGQ8",70,44,44,6,7,35,"YANTAI",497856
205193000,1501098720,30806457,2564639,3112,0,268,0,9120176,"UNION 8","ORKE",52,17,15,6,6,50,"HARBOURTUG",849920
367636270,1501098804,29358543,-75065872,1334,22,140,0,0,"RUSHMORE","WDH6272",37,12,20,5,2,19,"HOLFORD BAY",512832
311003500,1501098670,30308040,-387630,1097,149,113,0,9361835,"CSCC TIANJIN","C6XA4",70,25,152,16,16,87,"DE EME",515392
205593000,1501098800,30735953,1760870,3599,0,125,0,9569009,"WESTERSCHELDE PILOT","ORPV",50,14,11,6,6,0,"",1596
413985073,1501098213,13855197,68047218,0,0,511,0,0,"YUEZHAOQINGHUO3050","",70,32,8,4,5,0,"",
412000001,1501098806,23323086,72915997,3478,0,511,15,8914934,"DLMU IMTS01","DLMU",60,100,20,19,20,0,"",0
205252000,1501098804,30791688,1918666,1940,1,49,0,9198214,"VLAANDEREN 8","ORLX",90,60,5,9,3,28,"ZEEBRUGGE",666176
244050842,1501098651,31662047,3070857,3600,0,511,0,0,"STORM","",0,0,0,0,0,0,"",
538004188,1501098798,24385260,8488910,470,135,45,0,9457749,"NAVE POLARIS","V7VQ6",80,139,31,9,17,91,"NAPLES ITALY",513472
413443820,1501098778,18461105,73340814,1837,84,200,0,0,"ZHONG  TUO  17","BKWD5",80,62,22,4,8,48,"DA XIE",514624
316019447,1501098010,29114502,-75133424,3024,12,511,15,0,"VIKING CAVALIER","",30,10,12,4,3,0,"",0
243070322,1501098806,28497226,11428628,121,0,511,0,0,"CORVIN","HGCV",60,6,33,1,6,11,"VISEGRD",388416
205475000,1501098808,30814038,2544697,3026,51,299,0,9365142,"UNION JADE","ORNK",52,11,15,6,6,50,"ANTWERP",67584
273385970,1501098632,30782218,1937720,3463,0,153,5,9278600,"BARENTS","UBIP2",79,88,11,10,4,45,"ZEEBRUGGE",508224
477105600,1501098793,31184160,2422578,3240,0,511,0,9300790,"OOCL ASIA","VRBQ6",70,245,78,29,14,123,"ROTTERDAM,NL",510784
316011441,1501098801,29223570,-75237514,3454,67,511,7,0,"VIKING PRIDE","VG4385",30,10,12,3,4,30,"WESTPORT",0
244615906,1501098802,31139940,2693310,0,0,511,0,0,"HAAI","PF3366",79,5,16,3,3,1,"0000",759104
257214500,1501098716,35539167,6230703,716,0,511,0,0,"FALKEN","LG6924",37,5,5,2,1,0,"",
273345030,1501098684,34178841,7030892,1594,72,156,0,8010427,"OPHELIA","UBAG8",80,95,23,10,5,53,"UST-LUGA",523008
311000577,1501098367,23541800,-20401300,910,123,89,0,9212709,"VARVARA","C6CU4",70,200,25,18,14,128,"GIBRALTAR",522880
477737600,1501098802,30805947,1391412,2567,105,254,0,9704623,"YM WELLNESS","VROO3",74,144,224,31,20,142,"LONDON GATEWAY",514078
304068000,1501098805,30809016,2564688,334,0,289,3,9520572,"FAIRPLAY-27","V2GS3",52,10,26,5,7,48,"ANTWERP",496640
211668760,1501098795,30726984,4042524,3600,0,511,15,0,"DUESSEL","DF8343",69,10,24,3,3,0,"",1596
636017433,1501098803,29732800,-2198894,594,166,53,0,9755933,"MSC DIANA","D5KX8",70,159,241,25,34,133,"FELIXSTOWE",514688
244820807,1501098808,31138620,2615370,2611,80,511,0,0,"KRVE 4","PD3045",99,4,6,2,2,0,"",1596
244780504,1501098796,32066971,4094507,1310,0,283,0,0,"WATERLINES","PCRM",49,14,5,4,3,15,"NORDSEE ONE",449231
240920000,1501098804,22756016,14141224,3600,4,511,0,8313556,"MARIA OLGA","SVAS3",80,63,24,8,6,0,"PIRAEUS",480670
309509000,1501098773,30792306,1926808,3110,0,165,5,9338620,"SWALLOW ACE","C6WR3",72,19,180,25,7,87,"US SSI",533952
205592000,1501098809,30818721,1645188,1122,54,112,0,9568990,"WIELINGEN PILOT","ORPU",50,10,15,6,7,27,"OOSTENDE",549376
211510910,1501098806,31848672,5268203,1077,0,511,0,0,"BUNKER SERVICE 4","DA7440",80,33,5,1,6,22,"HAMBURG",1596
304623000,1501098806,25954774,4274036,550,148,55,0,9246530,"KATHERINE BORCHARD","V2BW7",72,125,10,13,10,74,"ITGOA",512192
205714000,1501098808,30716542,1658487,2791,31,268,0,9797826,"ZEELEEUW","ORCC",55,14,8,3,3,15,"UNKNOW",67584
308073000,1501098809,30942364,1719619,2451,2,221,0,8211863,"EAGLE FJORD","C6QW4",95,15,73,11,7,44,"RENTEL_OWF",512640
306354000,1501097531,29771939,-2347809,2598,165,260,0,9158537,"AGULHAS STREAM","PJKV",71,133,17,14,8,77,"MQFDF",531486
239512000,1501098805,22776330,14133227,3600,0,511,15,7113375,"GEORGIOS L","SXQK",80,70,16,5,7,63,"",1596
243070517,1501098806,28508652,11427709,270,0,511,0,0,"HUNGARIA","HGEQ",60,8,17,1,6,11,"BUDAPEST",340992
205015200,1501098802,30734420,2635293,0,0,511,0,0,"A.STESSELS","OT2815",99,7,6,2,2,2,"ANTWERPEN",121547
269057378,1501098793,30769210,2619380,3282,0,511,0,0,"RP BRUGGE","PB8308",80,115,10,7,4,40,"MARSHALLDOK",508841
205416000,1501098782,30794271,1926326,2868,0,246,0,9314284,"UNION RUBY","OROD",52,13,20,5,6,54,"ZEEBRUGGE",237731
211672720,1501098660,31864187,5244533,3153,0,142,5,0,"KIEK UT","DG8216",99,7,7,3,2,13,"BREMEN",164736
211775790,1501098806,31863961,5244969,3600,0,511,0,0,"WENDELIN","DG2259",89,19,7,4,2,16,"BREMEN",67584
205529490,1501098803,30740616,2651711,3600,0,511,15,0,"ZULU 2","OT5294",99,3,47,3,3,0,"",1596
205619000,1501098808,30800500,1930400,1590,0,150,0,9454321,"SMIT KIWI","0RQF",52,13,13,6,5,62,"ZEEBRUGGE",593088
244042000,1501098799,31799859,2918181,563,31,60,15,0,"WR181 GERRITJE","PBBP",30,19,4,3,3,16,"",1596
244020876,1501098805,30759949,2598293,3427,0,511,0,0,"VANCOUVER","PD3162",20,0,0,0,0,0,"NLROZ00116DOCKX00450",0
205404790,1501098802,30734624,2635634,0,0,511,0,608,"SCHELDE","OT4047",99,20,20,6,6,3,"ANTW STEEN",448512
412472060,1501098749,12644326,66303808,276,0,27,0,0,"YUE YOU LIAN 10","",70,43,10,5,4,18,"",0
205072000,1501098665,30736300,1760300,760,0,126,5,9622681,"SIMON STEVIN","ORBS",99,17,19,1,8,36,"OSTEND, BELGIUM",513088
413378070,1501098581,18748086,72902400,152,2,511,0,0,"QING XI ZHI XING","",36,13,14,3,3,0,"",
257071340,1501098774,37688243,4145273,1711,0,511,0,0,"RAGNHILD KRISTINE","LK6829",22,6,9,2,3,0,"",
256623000,1501098801,28382712,-1270511,2359,0,80,0,9575321,"GOBUSTAN","9HA2895",82,119,21,14,3,45,"FR  MONTOIR",512128
211467560,1501098804,31832413,5326498,3600,0,511,15,0,"LUESSEN 14","DB6417",79,65,15,3,7,0,"BREMEN WIETERSHEIM",1596
245749000,1501098803,34572500,7008800,320,144,32,0,9188233,"SCHIEBORG","PCHC",72,30,154,19,6,64,"SEGOT",513344
235096604,1501098803,26152274,4274253,244,0,133,0,9623207,"STATE OF GRACE","2GED7",36,16,22,6,2,35,"RIPOSTO",477824
316015742,1501098803,29366015,-75327040,2991,0,511,15,5963776,"VIKING MOON","CFL3682",0,0,0,0,0,0,"",1596
256736000,1501098808,22759615,14188529,3047,0,138,0,9365611,"NINA J","9HA2918",99,27,15,4,4,22,"PIRAEUS",402240
205436190,1501098803,30745209,2640766,2959,1,511,15,0,"PORRENA","OT4361",80,45,10,3,4,15,"ANTWERPEN MARSHALDOK",711040
253380000,1501098803,30751766,2614032,2380,0,238,0,9285689,"MSC SEATTLE","LXST",79,227,73,21,21,77,"M12",499072
205247090,1501098118,30811045,2576223,3298,49,511,0,0,"CHARLES-D","OT2470",80,67,13,5,5,2,"ROTTERDAM BOTLEK",535271
413797004,1501098127,18971026,72832752,3600,0,511,5,0,"YING ZHOU 9","",40,12,23,3,3,11,"NANMEN",513138
244690420,1501098803,31761609,3022302,3116,0,511,15,0,"DAGERAAD","PG3702",69,22,4,3,2,0,"",67610
244130070,1501098696,31069190,3067837,1301,0,511,8,9827425,"NP 511","PDFI",33,25,9,3,7,20,"AALST",500352
205099000,1501098808,30758145,2571907,3541,30,355,0,9031193,"PIETER COECKE","ORWI",33,23,10,7,11,30,"BAGGER",1596
257300740,1501098797,38018652,4916154,2883,0,511,0,0,"VERONICA","",0,0,0,0,0,0,"",
248309000,1501098806,27142013,11577047,987,103,100,0,0,"CRYSTAL MOZART","9HA2270",99,25,96,10,13,17,"BEOGRAD",516544
548835000,1501098551,20771879,81142316,3049,0,45,1,9589126,"DAGAT","DUCS",70,97,20,13,6,70,">JP NADAHAMA/KS-5",514560
244205000,1501098801,31769063,2864399,0,0,511,0,9056179," HD29 MORGENSTER","PGAP",30,25,19,4,5,52,"NOORZEE$DEN:HELDER",350622
244750673,1501098801,31581284,3037981,0,0,511,0,0,"SOEVEREIN","PD2118",69,50,8,0,8,3,"IJSSELMEER",1596
205415000,1501098805,30794004,1926881,2295,6,47,0,9314272,"UNION PEARL","OROC",52,6,27,6,6,54,"ZEEBRUGGE",109888
431003749,1501098804,21269430,83795458,2754,1,304,0,0,"YOSHINO MARU","JD3379",52,11,19,7,4,0,">JP YOK",1596
235092583,1501098635,30738341,1761349,3440,0,140,5,9657894,"MARINECO THUNDERBIRD","2FMX4",49,18,8,5,5,22,"OSTEND<>THORNTON OWF",511134
243070117,1501098775,28516133,11431259,1984,90,511,0,0,"AQUINCUM","HGAQ",69,17,22,1,6,13,"BUDAPEST",251230
